GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
libreria,com.emprendimiento.saintpatrick.carrito,Carrito.new Producto() {...},17,17,0,0,1,1,1,1,1,1
libreria,com.emprendimiento.saintpatrick.carrito,Carrito,1,179,1,11,1,44,1,16,0,11
libreria,com.emprendimiento.saintpatrick.usuario,Cliente,0,98,1,5,0,20,1,9,0,7
libreria,com.emprendimiento.saintpatrick.usuario,Administrador,0,75,0,12,0,15,0,10,0,4
libreria,com.emprendimiento.saintpatrick.usuario,Usuario,21,72,3,9,1,20,4,10,1,7
libreria,com.emprendimiento.saintpatrick.fabrica,FabricaProducto,13,225,5,27,3,48,6,19,1,8
libreria,com.emprendimiento.saintpatrick.fabrica,DatosSoporte,0,24,0,0,0,1,0,1,0,1
libreria,com.emprendimiento.saintpatrick.fabrica,DatosUsuario,0,18,0,0,0,1,0,1,0,1
libreria,com.emprendimiento.saintpatrick.fabrica,DatosCafe,0,27,0,0,0,1,0,1,0,1
libreria,com.emprendimiento.saintpatrick.fabrica,DatosLibro,0,27,0,0,0,1,0,1,0,1
libreria,com.emprendimiento.saintpatrick.fabrica,FabricaUsuario,3,87,3,12,1,12,4,7,1,2
libreria,com.emprendimiento.saintpatrick.fabrica,DatosSeparador,0,24,0,0,0,1,0,1,0,1
libreria,com.emprendimiento.saintpatrick.excepciones,DatosInvalidos,0,4,0,0,0,2,0,1,0,1
libreria,com.emprendimiento.saintpatrick.excepciones,InventarioInsuficiente,0,4,0,0,0,2,0,1,0,1
libreria,com.emprendimiento.saintpatrick.excepciones,UsuarioNoAutenticado,0,4,0,0,0,2,0,1,0,1
libreria,com.emprendimiento.saintpatrick.excepciones,PagoFallido,0,4,0,0,0,2,0,1,0,1
libreria,com.emprendimiento.saintpatrick.excepciones,ProductoNoEncontrado,0,4,0,0,0,2,0,1,0,1
libreria,com.emprendimiento.saintpatrick.excepciones,CarritoVacio,0,4,0,0,0,2,0,1,0,1
libreria,com.emprendimiento.saintpatrick.excepciones,CorreoInvalido,0,4,0,0,0,2,0,1,0,1
libreria,com.emprendimiento.saintpatrick.pedidos,GestorPedidos,3,68,0,2,1,16,1,4,1,3
libreria,com.emprendimiento.saintpatrick.pedidos,Pedido,0,68,0,0,0,14,0,7,0,7
libreria,com.emprendimiento.saintpatrick.inventario,InventarioFisico,10,70,3,7,2,19,3,8,0,6
libreria,com.emprendimiento.saintpatrick.inventario,GestorInventario,9,35,0,2,3,10,2,4,2,3
libreria,com.emprendimiento.saintpatrick.notificaciones,NotificadorEmail,0,10,0,2,0,4,0,3,0,2
libreria,com.emprendimiento.saintpatrick.notificaciones,GestorEventos,0,30,0,2,0,8,0,4,0,3
libreria,com.emprendimiento.saintpatrick.notificaciones,Evento,0,15,0,0,0,3,0,1,0,1
libreria,com.emprendimiento.saintpatrick.notificaciones,NotificadorUI,0,16,1,2,0,6,1,3,0,2
libreria,com.emprendimiento.saintpatrick.notificaciones,NotificadorAdministrador,0,10,0,2,0,4,0,3,0,2
libreria,com.emprendimiento.saintpatrick.notificaciones,ActualizadorDashboard,0,9,0,0,0,3,0,2,0,2
libreria,com.emprendimiento.saintpatrick.pago,PagoPayPal,18,25,4,2,5,6,5,3,2,3
libreria,com.emprendimiento.saintpatrick.pago,PagoTarjeta,1,42,1,5,1,10,1,7,0,5
libreria,com.emprendimiento.saintpatrick.modelo,Separador,0,102,0,6,0,19,0,9,0,6
libreria,com.emprendimiento.saintpatrick.modelo,Producto,18,103,1,13,5,28,4,16,3,10
libreria,com.emprendimiento.saintpatrick.modelo,Soporte,0,101,0,6,0,19,0,9,0,6
libreria,com.emprendimiento.saintpatrick.modelo,Cafe,5,128,1,13,2,23,1,14,0,8
libreria,com.emprendimiento.saintpatrick.modelo,Libro,0,131,0,14,0,25,0,15,0,8
libreria,com.emprendimiento.saintpatrick.configuracion,ConfiguracionSistema,0,40,0,2,0,11,0,5,0,4
